id;starttime;endtime;description;type;subtype;street;polyline;direction
20241003T082352_24_3631;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rue de Rivoli;48.8572903442405249 2.3523857637496040 48.8575349514073665 2.3514130212603082;ONE_DIRECTION
20240617T083355_4869_2773;2024-06-17T08:33:55+01:00;2025-12-31T18:00:00+01:00;Maitre d'ouvrage S.A.G.P.  Aménagement de voirie, travaux en multi phases;CONSTRUCTION;;Bd_de_Reuilly;48.8394672962685803 2.3942762534479076 48.8393058523850883 2.3921593881509695;ONE_DIRECTION
20240617T083355_4878_522;2024-06-17T08:33:55+01:00;2025-12-31T18:00:00+01:00;Maitre d'ouvrage S.A.G.P.  Aménagement de voirie, travaux en multi phases;CONSTRUCTION;;Pl_Felix_Eboue;48.8396571812658564 2.3964386495761274 48.8397524244466581 2.3963122798262861 48.8399246740862552 2.3954315882157875;ONE_DIRECTION
20251029T210000_5481_2632;2025-10-29T21:00:00+01:00;2025-10-30T05:00:00+01:00;Fermeture nocturne pour travaux DIRIF;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;Bagnolet_bretelle_5;48.8649001716221392 2.4117698642741860 48.8646576409884830 2.4123563376454671 48.8645216773365476 2.4127316280410254 48.8644000201319173 2.4131232491293431 48.8642926811230183 2.4136290733023125 48.8642569011830332 2.4141240307675012 48.8642998386849854 2.4144830037617764 48.8644143375405022 2.4148147970169411 48.8645717682149794 2.4151683287816565 48.8650011346708766 2.4163703667683136 48.8651174134783233 2.4168544392496125 48.8652529393257566 2.4176569891621251;ONE_DIRECTION
20241003T082352_28_3175;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8587993480476968 2.3474346083817021 48.8591196110789880 2.3464186665443791;ONE_DIRECTION
20241003T082352_32_357;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8604448421113489 2.3423106121012647 48.8609140900497323 2.3408548304014047;ONE_DIRECTION
20241003T082352_375_235;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;St_Antoine;48.8533832221277962 2.3676529252188785 48.8535182436284714 2.3665293761035024 48.8539396055919610 2.3647612444729278;ONE_DIRECTION
20251008T160800_4062_1077;2025-10-08T16:08:00+01:00;2025-10-31T01:00:00+01:00;Création d'une piste cyclable Circulation restreinte;CONSTRUCTION;;Reaumur;48.8675572048101756 2.3463510004749231 48.8673645417803044 2.3472975115977643;ONE_DIRECTION
20241003T082352_26_2547;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8580826343978813 2.3495301566806641 48.8585227178299064 2.3482103524655238;ONE_DIRECTION
20210915T124732_1899_655;2021-09-15T12:47:32+01:00;2030-09-15T17:00:00+01:00;interdit au véhicules,sauf (le bus,taxi,vélo) date de fin indefini;ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_de_St_Ouen;48.8940431642816122 2.3277028547496852 48.8930204235421755 2.3273499661421608;ONE_DIRECTION
20241003T082352_25_1062;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8575349514073665 2.3514130212603082 48.8580826343978813 2.3495301566806641;ONE_DIRECTION
20241003T082352_372_2179;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;St_Antoine;48.8551065589373579 2.3616887455298552 48.8554972796506775 2.3600634149766173;ONE_DIRECTION
20251029T210000_5480_3258;2025-10-29T21:00:00+01:00;2025-10-30T05:00:00+01:00;Fermeture nocturne pour travaux DIRIF;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;SI_A3_bretelle_2;48.8665746169587081 2.4132178653782881 48.8658246155090836 2.4129045656506709 48.8652285492490677 2.4128123594887074 48.8646993908576235 2.4130532874361310 48.8645052015425563 2.4133679728322943 48.8643923880600468 2.4136670455080913 48.8643891627342555 2.4142517677347630 48.8646164099336104 2.4150042517273600 48.8648912259008910 2.4159001562882221 48.8651194973997391 2.4166121713475017 48.8652529393257566 2.4176569891621251;ONE_DIRECTION
20251008T160800_1965_2717;2025-10-08T16:08:00+01:00;2025-10-31T01:00:00+01:00;Création d'une piste cyclable Circulation restreinte;CONSTRUCTION;;Pl_de_la_Bourse_cote_Reaumur;48.8688948249493009 2.3400300783090411 48.8685350762433615 2.3418768574460351;ONE_DIRECTION
20210117T082836_6088_3370;2021-01-17T08:28:36+01:00;2030-12-27T17:00:00+01:00;AE_A6A_bretelle_8;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;AE_A6A_bretelle_8;48.8153000957952585 2.3367824808364861 48.8162481478654655 2.3371978486170617 48.8165029925392133 2.3374582022794543 48.8167048488371691 2.3378199568949225 48.8167241076344780 2.3380966256338662 48.8164816798007664 2.3418359646445879;ONE_DIRECTION
20210915T124542_4047_1655;2021-09-15T12:45:42+01:00;2030-09-15T17:00:00+01:00;"de Guy Moquet jusqu'à la place Clichy interdit au véhicules,sauf (le bus,taxi,vélo); date de fin indefini";ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_de_Clichy;48.8874488274530350 2.3255033452243690 48.8866005595843021 2.3258829056671320;ONE_DIRECTION
20241003T082352_33_2055;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8609491564223077 2.3407406813978486 48.8614986341360549 2.3390796944274990;ONE_DIRECTION
20241003T082352_371_3685;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8554972796506775 2.3600634149766173 48.8559785960858264 2.3579583705948619;ONE_DIRECTION
20240617T083355_4867_1815;2024-06-17T08:33:55+01:00;2025-12-31T18:00:00+01:00;Maitre d'ouvrage S.A.G.P.  Aménagement de voirie, travaux en multi phases;CONSTRUCTION;;Bd_de_Reuilly;48.8393702767821551 2.3944581541181145 48.8394519400436096 2.3951712523075654;ONE_DIRECTION
20250804T075521_4870_3634;2025-08-04T07:55:21+01:00;2025-11-28T18:00:00+01:00;Travaux:Maitre d'ouvrage:SAGP/Description:Végétalisation et agrandissement du trottoir coté paire/Mise en sens unique;CONSTRUCTION;;Gay_Lussac;48.8425808799085885 2.3428448823769519 48.8412353009376972 2.3435238065966111;ONE_DIRECTION
20241003T082352_30_3686;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8596349548353999 2.3448214172967252 48.8599242487681593 2.3439087680977191;ONE_DIRECTION
20241003T082352_515_3427;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;St_Antoine;48.8543173510283566 2.3637201767521603 48.8546092004605015 2.3629157723686092;ONE_DIRECTION
20251008T160800_1978_509;2025-10-08T16:08:00+01:00;2025-10-31T01:00:00+01:00;Création d'une piste cyclable Circulation restreinte;CONSTRUCTION;;4_Septembre;48.8691745986319077 2.3386088501499116 48.8688948249493009 2.3400300783090411;ONE_DIRECTION
